"","X","full_name","passer_id","position","team","season","chances","mcmc.mean","sim.mean","mcmc.sd","sim.sd","headshot_url"
"601",3,"Ben Roethlisberger","00-0022924","QB","PIT",2007,436,0.0458931863020431,0.0466527605076875,0.0260067350705336,0.0725505017298618,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROE750381.png"
"602",4,"Tony Romo","00-0021678","QB","DAL",2007,540,0.043056117542564,0.0428322531918133,0.0249022851977913,0.0675971807160189,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROM787981.png"
"603",5,"Drew Brees","00-0020531","QB","NO",2007,622,0.0390296181892088,0.03963614208057,0.0221317814654904,0.0616557373330464,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRE229498.png"
"604",6,"Jay Cutler","00-0024226","QB","DEN",2007,448,0.0257561211616018,0.0271715973344056,0.023975557142094,0.0511553087883964,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CUT288111.png"
"605",7,"David Garrard","00-0021231","QB","JAX",2007,367,0.0254054303193155,0.0255459850177244,0.025434297356596,0.050986821692637,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GAR371604.png"
"606",8,"Donovan McNabb","00-0011022","QB","PHI",2007,456,0.0236450937678385,0.0242374131350449,0.0218117131507625,0.0460354940472222,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MCN017517.png"
"607",9,"Shaun Hill","00-0020679","QB","SF",2007,75,0.0211090126916001,0.0215185207015111,0.0298569384485096,0.0513052620768584,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HIL586565.png"
"608",10,"Matt Hasselbeck","00-0007091","QB","SEA",2007,613,0.0209303583579319,0.0204495340587939,0.0209806463921628,0.0413953638502677,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/HAS536799.png"
"609",11,"Jon Kitna","00-0009311","QB","DET",2007,544,0.0197217425243176,0.0199362710579357,0.0236914068440893,0.0436404929876707,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/KIT155733.png"
"610",12,"Sage Rosenfels","00-0020480","QB","HOU",2007,237,0.0198281452724986,0.019604021392964,0.0244124058769903,0.0439444371289782,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROS396938.png"
